Thorvald Problem CSV Report,,,,Run Date:,,2022-02-25
North South Hands,,Tricks in Spades,,Tricks in Hearts,,Tricks in Diamonds
 n KT96.7.AK982.T96 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',9,'Di ',10
 n KT42.8.AK873.T75 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',7,'Di ',10
 n K742.5.AKT92.J63 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',9,'Di ',10
 n KJ42.8.AKT43.J73 s AQ5.KJ9642.QJ6.8 ,'Sp ',11,'He ',9,'Di ',11
 n KJ98.Q.K8532.J42 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',9
 n KT62.3.AKT74.752 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',8,'Di ',10
 n KT74.7.AK954.T63 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',9,'Di ',10
 n JT96.A.AK984.T92 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',11,'Di ',10
 n KJ86.5.AK532.652 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',10
 n KJ92.A.A9843.J43 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',10
 n K976.A.KT753.954 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',8,'Di ',11
 n J982.Q.AKT83.JT5 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',10
 n J963.Q.AKT74.932 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',8,'Di ',10
 n KT86.A.AT972.543 s AQ5.KJ9642.QJ6.8 ,'Sp ',12,'He ',11,'Di ',12
 n K983.A.AT832.753 s AQ5.KJ9642.QJ6.8 ,'Sp ',12,'He ',11,'Di ',12
 n K974.7.AK432.J43 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',11
 n KT82.T.AK984.532 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',11
 n JT64.Q.AKT42.T72 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',10,'Di ',9
 n KT43.A.A9852.J97 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n 8432.Q.AK872.J92 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',10,'Di ',10
 n KJ72.3.AKT94.964 s AQ5.KJ9642.QJ6.8 ,'Sp ',11,'He ',10,'Di ',11
 n KJ86.5.AKT32.642 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',9,'Di ',10
 n K876.A.AT952.743 s AQ5.KJ9642.QJ6.8 ,'Sp ',11,'He ',11,'Di ',12
 n K943.8.AK973.754 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n KJ63.T.AK752.973 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n KJ42.A.A9852.932 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',11
 n KT98.Q.AK743.653 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',11,'Di ',11
 n K982.T.AK872.T43 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',7,'Di ',9
 n KT82.T.AK532.973 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',7,'Di ',10
 n J843.A.A9875.JT5 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',9
 n K742.Q.AK843.T76 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',11,'Di ',11
 n K763.8.AK432.765 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',11
 n KJT4.3.AK975.962 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',9,'Di ',11
 n J863.Q.AKT95.JT6 s AQ5.KJ9642.QJ6.8 ,'Sp ',7,'He ',10,'Di ',9
 n KJ87.3.AKT87.932 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',8,'Di ',10
 n JT42.A.AK974.T63 s AQ5.KJ9642.QJ6.8 ,'Sp ',11,'He ',11,'Di ',11
 n K742.8.AK875.T62 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',10
 n K873.7.AKT97.542 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n K982.3.AKT83.T76 s AQ5.KJ9642.QJ6.8 ,'Sp ',7,'He ',8,'Di ',9
 n KJ86.7.AK732.762 s AQ5.KJ9642.QJ6.8 ,'Sp ',11,'He ',10,'Di ',11
 n K986.5.AK974.J42 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',11
 n KT62.3.AK732.974 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',9
 n KT32.T.AK852.642 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',8,'Di ',10
 n JT72.A.AK732.972 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',12
 n JT84.A.AKT84.JT7 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',11,'Di ',12
 n 9642.A.AKT97.T76 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',11
 n T843.A.AK832.952 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',11,'Di ',12
 n KT64.7.AK532.T96 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',9,'Di ',9
 n T943.A.AK753.T64 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',11,'Di ',12
 n K842.8.AKT95.643 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',10
 n K843.5.AKT52.764 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',11
 n K987.Q.AKT54.965 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',8,'Di ',11
 n K987.8.AKT43.JT7 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',8,'Di ',11
 n KT92.8.AKT73.J62 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',8,'Di ',9
 n K986.A.AT432.T42 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n KJ87.Q.AT952.764 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',10
 n KJ94.A.KT852.J72 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',9,'Di ',10
 n KT72.8.AK987.975 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',8,'Di ',10
 n J973.Q.AKT87.742 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',11
 n K842.8.AK843.753 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',10
 n K962.A.A8543.642 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',10,'Di ',11
 n KJ72.5.AK753.643 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',9,'Di ',11
 n K872.8.AK973.J75 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',7,'Di ',9
 n T643.A.AKT93.T75 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',11,'Di ',12
 n K962.Q.AT984.JT7 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',11
 n JT64.Q.AKT84.954 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',11
 n KT93.T.AK973.T42 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',10
 n KJ73.Q.AT872.JT7 s AQ5.KJ9642.QJ6.8 ,'Sp ',10,'He ',9,'Di ',11
 n JT97.Q.AKT83.954 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',10,'Di ',10
 n JT84.A.AT532.JT2 s AQ5.KJ9642.QJ6.8 ,'Sp ',11,'He ',11,'Di ',12
 n 8742.Q.AK542.J43 s AQ5.KJ9642.QJ6.8 ,'Sp ',8,'He ',11,'Di ',11
 n K864.Q.AKT32.JT4 s AQ5.KJ9642.QJ6.8 ,'Sp ',9,'He ',11,'Di ',11
