 n AJ72.KJ7.AQ.AKQ8 ,s KQT5.A9.642.9653 ,e 9.T843.KT985.JT7 ,w 8643.Q652.J73.42 
 n 2.AKQJ4.AJ8.KT64 ,s J875.6.KT72.J952 ,e AT643.T8.Q543.Q8 ,w KQ9.97532.96.A73 
 n 9732.AK9.974.K82 ,s Q8.3.JT8653.QT74 ,e KJT64.QT65.K2.A9 ,w A5.J8742.AQ.J653 
 n A54.42.KQJ94.Q32 ,s J98.Q98.A76.JT64 ,e KQ76.AJ63.T32.A7 ,w T32.KT75.85.K985 
 n 4.AT875.KJ52.632 ,s 32.J43.T87.QT875 ,e AJT85.KQ2.AQ63.A ,w KQ976.96.94.KJ94 
 n QJ94.2.K432.JT53 ,s AK83..AQT975.AQ7 ,e T7.KQT873.J6.K96 ,w 652.AJ9654.8.842 
 n 982.Q942.J3.K532 ,s KT74.73.K9852.84 ,e QJ53.AJ86.74.AQT ,w A6.KT5.AQT6.J976 
 n Q43.T8643.64.T52 ,s T72.A95.AT92.KJ9 ,e K9865.Q.K87.AQ63 ,w AJ.KJ72.QJ53.874 
 n KQJ96.53.K82.K93 ,s .JT4.T73.QJT8742 ,e 8432.KQ7.AQ65.A6 ,w AT75.A9862.J94.5 
 n KQJT974.5.Q.KJ98 ,s 532.42.A8732.753 ,e A8.9873.T4.AQT62 ,w 6.AKQJT6.KJ965.4 
 n 9874.83.J985.J65 ,s QJ.AQ42.KQ6.AK43 ,e A653.K.A742.T872 ,w KT2.JT9765.T3.Q9 
 n K65.KJ763.62.T93 ,s AT973.Q4.AQT74.7 ,e Q842.9.J85.AQ842 ,w J.AT852.K93.KJ65 
 n J852.Q53.Q5.KQ62 ,s K4.AKT42.K84.987 ,e AQ97.J96.JT72.J4 ,w T63.87.A963.AT53 
 n KQT973.QJT5.53.T ,s J8.876.KT862.963 ,e 6542.K92.AJ4.842 ,w A.A43.Q97.AKQJ75 
 n 874.J54.KQT854.2 ,s T96.K.AJ7.AKT654 ,e A52.AT863.2.Q973 ,w KQJ3.Q972.963.J8 
 n KT62.K953.K9762. ,s A4.AJ87.QT85.875 ,e Q85.42.J4.AKJ962 ,w J973.QT6.A3.QT43 
 n QJT87.T53.T432.K ,s 63.Q62.AKJ65.T64 ,e A54.K87.98.A9875 ,w K92.AJ94.Q7.QJ32 
 n QT64.Q9852.84.72 ,s 52.AJT.KQ.AQJ864 ,e K983.74.JT932.K9 ,w AJ7.K63.A765.T53 
 n KQ8.A6.AK9632.J7 ,s JT952.JT8.QJT.Q3 ,e A73.972.74.AT652 ,w 64.KQ543.85.K984 
 n 98.J93.Q642.QT72 ,s 762.K62.AT87.A54 ,e JT53.AQ8.K953.93 ,w AKQ4.T754.J.KJ86 
 n JT543.AJ962.3.K3 ,s 9.854.AJT54.AQJT ,e A82.QT.KQ762.754 ,w KQ76.K73.98.9862 
 n A4.JT854.3.JT954 ,s QJT98765.A2.K.K6 ,e 3.K3.A8652.A8732 ,w K2.Q976.QJT974.Q 
 n Q53.K754.KQJ5.T5 ,s JT872.J63..KQ742 ,e A64.AQT8.T932.93 ,w K9.92.A8764.AJ86 
 n 9762.T32.A8752.A ,s JT3.J875.KQ.J763 ,e K84.KQ64.96.KT54 ,w AQ5.A9.JT43.Q982 
